Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Unit,Indicator,Value
11,2019-20,A,North East,Number,Invited_Abnormality_25to64,8482
11,2019-20,A,North East,Number,Invited_Call_25to64,31309
11,2019-20,A,North East,Number,Invited_Inadequate_25to64,2463
11,2019-20,A,North East,Number,Invited_Recall_25to64,144170
11,2019-20,A,North East,Number,Invited_Surveillance_25to64,13760
11,2019-20,A,North East,Number,Result_Borderline_changes_25to64,4281
11,2019-20,A,North East,Number,Result_Glandular_neoplasia_25to64,75
11,2019-20,A,North East,Number,Result_Low_Grade_dyskaryosis_25to64,3110
11,2019-20,A,North East,Number,Result_Moderate_dyskaryosis_25to64,999
11,2019-20,A,North East,Number,Result_Negative_25to64,137596
11,2019-20,A,North East,Number,Result_Severe_dyskaryosis_25to64,1027
11,2019-20,A,North East,Number,Result_Severe_dyskaryosis_Inv_25to64,52
11,2019-20,A,North East,Number,Tested_Abnormality_25to64,316
11,2019-20,A,North East,Number,Tested_Call_25to64,11806
11,2019-20,A,North East,Number,Tested_Ceased_25to64,1318
11,2019-20,A,North East,Number,Tested_Inadequate_25to64,1219
11,2019-20,A,North East,Number,Tested_Outside_Programme_25to64,21108
11,2019-20,A,North East,Number,Tested_Recall_25to64,97418
11,2019-20,A,North East,Number,Tested_Surveillance_25to64,7221
11,2019-20,A,North East,Number,Tested_Suspended_25to64,7199
11,2019-20,B,North West,Number,Invited_Abnormality_25to64,18114
11,2019-20,B,North West,Number,Invited_Call_25to64,110253
11,2019-20,B,North West,Number,Invited_Inadequate_25to64,8411
11,2019-20,B,North West,Number,Invited_Recall_25to64,390749
11,2019-20,B,North West,Number,Invited_Surveillance_25to64,57534
11,2019-20,B,North West,Number,Result_Borderline_changes_25to64,4043
11,2019-20,B,North West,Number,Result_Glandular_neoplasia_25to64,165
11,2019-20,B,North West,Number,Result_Low_Grade_dyskaryosis_25to64,8607
11,2019-20,B,North West,Number,Result_Moderate_dyskaryosis_25to64,1858
11,2019-20,B,North West,Number,Result_Negative_25to64,399122
11,2019-20,B,North West,Number,Result_Severe_dyskaryosis_25to64,2690
