Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
12,2019-20,A,North East,00CH,E08000037,Gateshead,Number,Eligible_Population_25to64,52340
12,2019-20,A,North East,00CH,E08000037,Gateshead,Number,Number_Screened_25to64,11742
12,2019-20,A,North East,00CH,E08000037,Gateshead,%,Borderline_changes_25to64,2.478283086
12,2019-20,A,North East,00CH,E08000037,Gateshead,%,Low_Grade_dyskaryosis_25to64,1.916198263
12,2019-20,A,North East,00CH,E08000037,Gateshead,%,Moderate_dyskaryosis_25to64,0.902742293
12,2019-20,A,North East,00CH,E08000037,Gateshead,%,Negative_25to64,93.88519843
12,2019-20,A,North East,00CH,E08000037,Gateshead,%,Severe_dyskaryosis_or_worse_25to64,0.817577925
12,2019-20,A,North East,00CJ,E08000021,Newcastle upon Tyne,Number,Eligible_Population_25to64,80022
12,2019-20,A,North East,00CJ,E08000021,Newcastle upon Tyne,Number,Number_Screened_25to64,15996
12,2019-20,A,North East,00CJ,E08000021,Newcastle upon Tyne,%,Borderline_changes_25to64,2.706926732
12,2019-20,A,North East,00CJ,E08000021,Newcastle upon Tyne,%,Low_Grade_dyskaryosis_25to64,2.269317329
12,2019-20,A,North East,00CJ,E08000021,Newcastle upon Tyne,%,Moderate_dyskaryosis_25to64,0.525131283
12,2019-20,A,North East,00CJ,E08000021,Newcastle upon Tyne,%,Negative_25to64,93.66091523
12,2019-20,A,North East,00CJ,E08000021,Newcastle upon Tyne,%,Severe_dyskaryosis_or_worse_25to64,0.837709427
12,2019-20,A,North East,00CK,E08000022,North Tyneside,Number,Eligible_Population_25to64,55933
12,2019-20,A,North East,00CK,E08000022,North Tyneside,Number,Number_Screened_25to64,12290
12,2019-20,A,North East,00CK,E08000022,North Tyneside,%,Borderline_changes_25to64,3.157038242
12,2019-20,A,North East,00CK,E08000022,North Tyneside,%,Low_Grade_dyskaryosis_25to64,2.066720911
12,2019-20,A,North East,00CK,E08000022,North Tyneside,%,Moderate_dyskaryosis_25to64,0.545158666
12,2019-20,A,North East,00CK,E08000022,North Tyneside,%,Negative_25to64,93.32790887
12,2019-20,A,North East,00CK,E08000022,North Tyneside,%,Severe_dyskaryosis_or_worse_25to64,0.903173312
12,2019-20,A,North East,00CL,E08000023,South Tyneside,Number,Eligible_Population_25to64,39225
12,2019-20,A,North East,00CL,E08000023,South Tyneside,Number,Number_Screened_25to64,8592
12,2019-20,A,North East,00CL,E08000023,South Tyneside,%,Borderline_changes_25to64,2.141527002
12,2019-20,A,North East,00CL,E08000023,South Tyneside,%,Low_Grade_dyskaryosis_25to64,1.675977654
12,2019-20,A,North East,00CL,E08000023,South Tyneside,%,Moderate_dyskaryosis_25to64,0.756517691
12,2019-20,A,North East,00CL,E08000023,South Tyneside,%,Negative_25to64,94.7160149
12,2019-20,A,North East,00CL,E08000023,South Tyneside,%,Severe_dyskaryosis_or_worse_25to64,0.709962756
12,2019-20,A,North East,00CM,E08000024,Sunderland,Number,Eligible_Population_25to64,73832
12,2019-20,A,North East,00CM,E08000024,Sunderland,Number,Number_Screened_25to64,16347
12,2019-20,A,North East,00CM,E08000024,Sunderland,%,Borderline_changes_25to64,3.480760996
12,2019-20,A,North East,00CM,E08000024,Sunderland,%,Low_Grade_dyskaryosis_25to64,2.1533003
12,2019-20,A,North East,00CM,E08000024,Sunderland,%,Moderate_dyskaryosis_25to64,0.984890194
12,2019-20,A,North East,00CM,E08000024,Sunderland,%,Negative_25to64,92.66532085
12,2019-20,A,North East,00CM,E08000024,Sunderland,%,Severe_dyskaryosis_or_worse_25to64,0.715727656
12,2019-20,A,North East,00EB,E06000001,Hartlepool,Number,Eligible_Population_25to64,23857
12,2019-20,A,North East,00EB,E06000001,Hartlepool,Number,Number_Screened_25to64,4987
12,2019-20,A,North East,00EB,E06000001,Hartlepool,%,Borderline_changes_25to64,2.426308402
12,2019-20,A,North East,00EB,E06000001,Hartlepool,%,Low_Grade_dyskaryosis_25to64,1.584118709
