Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_ONS_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
13,2018-19,A,E12000001,North East,00CH,E08000037,Gateshead,%,Coverage_3andhalfyears__25-49,74.10202323301350000000
13,2018-19,A,E12000001,North East,00CH,E08000037,Gateshead,%,Coverage_5andhalfyears__50-64,75.50018875047190000000
13,2018-19,A,E12000001,North East,00CH,E08000037,Gateshead,%,Coverage_in_period__25-64,74.59867438029190000000
13,2018-19,A,E12000001,North East,00CH,E08000037,Gateshead,Number,Eligible__25-49,33659
13,2018-19,A,E12000001,North East,00CH,E08000037,Gateshead,Number,Eligible__25-64,52202
13,2018-19,A,E12000001,North East,00CH,E08000037,Gateshead,Number,Eligible__50-64,18543
13,2018-19,A,E12000001,North East,00CJ,E08000021,Newcastle upon Tyne,%,Coverage_3andhalfyears__25-49,64.57237255570920000000
13,2018-19,A,E12000001,North East,00CJ,E08000021,Newcastle upon Tyne,%,Coverage_5andhalfyears__50-64,75.88970684322860000000
13,2018-19,A,E12000001,North East,00CJ,E08000021,Newcastle upon Tyne,%,Coverage_in_period__25-64,67.87585189706030000000
13,2018-19,A,E12000001,North East,00CJ,E08000021,Newcastle upon Tyne,Number,Eligible__25-49,55691
13,2018-19,A,E12000001,North East,00CJ,E08000021,Newcastle upon Tyne,Number,Eligible__25-64,78648
13,2018-19,A,E12000001,North East,00CJ,E08000021,Newcastle upon Tyne,Number,Eligible__50-64,22957
13,2018-19,A,E12000001,North East,00CK,E08000022,North Tyneside,%,Coverage_3andhalfyears__25-49,77.39946756340200000000
13,2018-19,A,E12000001,North East,00CK,E08000022,North Tyneside,%,Coverage_5andhalfyears__50-64,76.44865464073370000000
13,2018-19,A,E12000001,North East,00CK,E08000022,North Tyneside,%,Coverage_in_period__25-64,77.05966036988350000000
13,2018-19,A,E12000001,North East,00CK,E08000022,North Tyneside,Number,Eligible__25-49,35685
13,2018-19,A,E12000001,North East,00CK,E08000022,North Tyneside,Number,Eligible__25-64,55531
13,2018-19,A,E12000001,North East,00CK,E08000022,North Tyneside,Number,Eligible__50-64,19846
13,2018-19,A,E12000001,North East,00CL,E08000023,South Tyneside,%,Coverage_3andhalfyears__25-49,75.54405412014020000000
13,2018-19,A,E12000001,North East,00CL,E08000023,South Tyneside,%,Coverage_5andhalfyears__50-64,75.13881177123820000000
13,2018-19,A,E12000001,North East,00CL,E08000023,South Tyneside,%,Coverage_in_period__25-64,75.39413546962460000000
13,2018-19,A,E12000001,North East,00CL,E08000023,South Tyneside,Number,Eligible__25-49,24538
13,2018-19,A,E12000001,North East,00CL,E08000023,South Tyneside,Number,Eligible__25-64,38946
13,2018-19,A,E12000001,North East,00CL,E08000023,South Tyneside,Number,Eligible__50-64,14408
13,2018-19,A,E12000001,North East,00CM,E08000024,Sunderland,%,Coverage_3andhalfyears__25-49,76.12338977209080000000
13,2018-19,A,E12000001,North East,00CM,E08000024,Sunderland,%,Coverage_5andhalfyears__50-64,77.30095364825900000000
13,2018-19,A,E12000001,North East,00CM,E08000024,Sunderland,%,Coverage_in_period__25-64,76.55697098372260000000
13,2018-19,A,E12000001,North East,00CM,E08000024,Sunderland,Number,Eligible__25-49,46422
13,2018-19,A,E12000001,North East,00CM,E08000024,Sunderland,Number,Eligible__25-64,73476
13,2018-19,A,E12000001,North East,00CM,E08000024,Sunderland,Number,Eligible__50-64,27054
13,2018-19,A,E12000001,North East,00EB,E06000001,Hartlepool,%,Coverage_3andhalfyears__25-49,73.86135969012960000000
13,2018-19,A,E12000001,North East,00EB,E06000001,Hartlepool,%,Coverage_5andhalfyears__50-64,72.65375854214120000000
13,2018-19,A,E12000001,North East,00EB,E06000001,Hartlepool,%,Coverage_in_period__25-64,73.41500378883560000000
13,2018-19,A,E12000001,North East,00EB,E06000001,Hartlepool,Number,Eligible__25-49,14974
13,2018-19,A,E12000001,North East,00EB,E06000001,Hartlepool,Number,Eligible__25-64,23754
13,2018-19,A,E12000001,North East,00EB,E06000001,Hartlepool,Number,Eligible__50-64,8780
13,2018-19,A,E12000001,North East,00EC,E06000002,Middlesbrough,%,Coverage_3andhalfyears__25-49,66.62937062937060000000
13,2018-19,A,E12000001,North East,00EC,E06000002,Middlesbrough,%,Coverage_5andhalfyears__50-64,72.31221216452280000000
13,2018-19,A,E12000001,North East,00EC,E06000002,Middlesbrough,%,Coverage_in_period__25-64,68.53185890108720000000
13,2018-19,A,E12000001,North East,00EC,E06000002,Middlesbrough,Number,Eligible__25-49,25025
13,2018-19,A,E12000001,North East,00EC,E06000002,Middlesbrough,Number,Eligible__25-64,37619
13,2018-19,A,E12000001,North East,00EC,E06000002,Middlesbrough,Number,Eligible__50-64,12594
13,2018-19,A,E12000001,North East,00EE,E06000003,Redcar and Cleveland,%,Coverage_3andhalfyears__25-49,76.09414697282010000000
13,2018-19,A,E12000001,North East,00EE,E06000003,Redcar and Cleveland,%,Coverage_5andhalfyears__50-64,76.59936395237040000000
13,2018-19,A,E12000001,North East,00EE,E06000003,Redcar and Cleveland,%,Coverage_in_period__25-64,76.29282764237100000000
13,2018-19,A,E12000001,North East,00EE,E06000003,Redcar and Cleveland,Number,Eligible__25-49,20861
13,2018-19,A,E12000001,North East,00EE,E06000003,Redcar and Cleveland,Number,Eligible__25-64,34382
13,2018-19,A,E12000001,North East,00EE,E06000003,Redcar and Cleveland,Number,Eligible__50-64,13521
13,2018-19,A,E12000001,North East,00EF,E06000004,Stockton-on-Tees,%,Coverage_3andhalfyears__25-49,75.32703936813530000000
13,2018-19,A,E12000001,North East,00EF,E06000004,Stockton-on-Tees,%,Coverage_5andhalfyears__50-64,75.10035682426410000000
13,2018-19,A,E12000001,North East,00EF,E06000004,Stockton-on-Tees,%,Coverage_in_period__25-64,75.24628585048070000000
13,2018-19,A,E12000001,North East,00EF,E06000004,Stockton-on-Tees,Number,Eligible__25-49,32412
13,2018-19,A,E12000001,North East,00EF,E06000004,Stockton-on-Tees,Number,Eligible__25-64,50348
13,2018-19,A,E12000001,North East,00EF,E06000004,Stockton-on-Tees,Number,Eligible__50-64,17936
13,2018-19,A,E12000001,North East,00EH,E06000005,Darlington,%,Coverage_3andhalfyears__25-49,75.59339525283800000000
13,2018-19,A,E12000001,North East,00EH,E06000005,Darlington,%,Coverage_5andhalfyears__50-64,76.66060973147590000000
13,2018-19,A,E12000001,North East,00EH,E06000005,Darlington,%,Coverage_in_period__25-64,75.97996197162500000000
13,2018-19,A,E12000001,North East,00EH,E06000005,Darlington,Number,Eligible__25-49,17442
13,2018-19,A,E12000001,North East,00EH,E06000005,Darlington,Number,Eligible__25-64,27348
13,2018-19,A,E12000001,North East,00EH,E06000005,Darlington,Number,Eligible__50-64,9906
13,2018-19,A,E12000001,North East,00EJ,E06000047,County Durham,%,Coverage_3andhalfyears__25-49,76.66466559670680000000
13,2018-19,A,E12000001,North East,00EJ,E06000047,County Durham,%,Coverage_5andhalfyears__50-64,77.27553193606810000000
13,2018-19,A,E12000001,North East,00EJ,E06000047,County Durham,%,Coverage_in_period__25-64,76.89740945216280000000
13,2018-19,A,E12000001,North East,00EJ,E06000047,County Durham,Number,Eligible__25-49,81623
13,2018-19,A,E12000001,North East,00EJ,E06000047,County Durham,Number,Eligible__25-64,131864
13,2018-19,A,E12000001,North East,00EJ,E06000047,County Durham,Number,Eligible__50-64,50241
13,2018-19,A,E12000001,North East,00EM,E06000057,Northumberland,%,Coverage_3andhalfyears__25-49,78.04835241981480000000
13,2018-19,A,E12000001,North East,00EM,E06000057,Northumberland,%,Coverage_5andhalfyears__50-64,78.42052466790290000000
13,2018-19,A,E12000001,North East,00EM,E06000057,Northumberland,%,Coverage_in_period__25-64,78.20436040214580000000
13,2018-19,A,E12000001,North East,00EM,E06000057,Northumberland,Number,Eligible__25-49,45582
13,2018-19,A,E12000001,North East,00EM,E06000057,Northumberland,Number,Eligible__25-64,78479
13,2018-19,A,E12000001,North East,00EM,E06000057,Northumberland,Number,Eligible__50-64,32897
13,2018-19,A,A,North East,A,A,North East,%,Coverage_3andhalfyears__25-49,74.15248182819640000000
13,2018-19,A,A,North East,A,A,North East,%,Coverage_5andhalfyears__50-64,76.34699597479520000000
13,2018-19,A,A,North East,A,A,North East,%,Coverage_in_period__25-64,74.95198484610980000000
13,2018-19,A,A,North East,A,A,North East,Number,Eligible__25-49,433914
13,2018-19,A,A,North East,A,A,North East,Number,Eligible__25-64,682597
13,2018-19,A,A,North East,A,A,North East,Number,Eligible__50-64,248683
13,2018-19,B,E12000002,North West,16,E10000006,Cumbria,%,Coverage_3andhalfyears__25-49,77.70170419880960000000
13,2018-19,B,E12000002,North West,16,E10000006,Cumbria,%,Coverage_5andhalfyears__50-64,78.43996840442340000000
13,2018-19,B,E12000002,North West,16,E10000006,Cumbria,%,Coverage_in_period__25-64,78.00223474465230000000
13,2018-19,B,E12000002,North West,16,E10000006,Cumbria,Number,Eligible__25-49,73759
13,2018-19,B,E12000002,North West,16,E10000006,Cumbria,Number,Eligible__25-64,124399
13,2018-19,B,E12000002,North West,16,E10000006,Cumbria,Number,Eligible__50-64,50640
13,2018-19,B,E12000002,North West,30,E10000017,Lancashire,%,Coverage_3andhalfyears__25-49,72.20224673451560000000
13,2018-19,B,E12000002,North West,30,E10000017,Lancashire,%,Coverage_5andhalfyears__50-64,76.73817130686140000000
13,2018-19,B,E12000002,North West,30,E10000017,Lancashire,%,Coverage_in_period__25-64,73.84439930147190000000
13,2018-19,B,E12000002,North West,30,E10000017,Lancashire,Number,Eligible__25-49,196908
13,2018-19,B,E12000002,North West,30,E10000017,Lancashire,Number,Eligible__25-64,308649
13,2018-19,B,E12000002,North West,30,E10000017,Lancashire,Number,Eligible__50-64,111741
13,2018-19,B,E12000002,North West,00BL,E08000001,Bolton,%,Coverage_3andhalfyears__25-49,70.01659847139660000000
13,2018-19,B,E12000002,North West,00BL,E08000001,Bolton,%,Coverage_5andhalfyears__50-64,76.67290314876000000000
13,2018-19,B,E12000002,North West,00BL,E08000001,Bolton,%,Coverage_in_period__25-64,72.19008747871520000000
13,2018-19,B,E12000002,North West,00BL,E08000001,Bolton,Number,Eligible__25-49,51812
13,2018-19,B,E12000002,North West,00BL,E08000001,Bolton,Number,Eligible__25-64,76933
13,2018-19,B,E12000002,North West,00BL,E08000001,Bolton,Number,Eligible__50-64,25121
13,2018-19,B,E12000002,North West,00BM,E08000002,Bury,%,Coverage_3andhalfyears__25-49,71.57283807312830000000
13,2018-19,B,E12000002,North West,00BM,E08000002,Bury,%,Coverage_5andhalfyears__50-64,76.07872389258660000000
13,2018-19,B,E12000002,North West,00BM,E08000002,Bury,%,Coverage_in_period__25-64,73.08626271970400000000
13,2018-19,B,E12000002,North West,00BM,E08000002,Bury,Number,Eligible__25-49,34460
13,2018-19,B,E12000002,North West,00BM,E08000002,Bury,Number,Eligible__25-64,51888
13,2018-19,B,E12000002,North West,00BM,E08000002,Bury,Number,Eligible__50-64,17428
13,2018-19,B,E12000002,North West,00BN,E08000003,Manchester,%,Coverage_3andhalfyears__25-49,61.25520201854700000000
13,2018-19,B,E12000002,North West,00BN,E08000003,Manchester,%,Coverage_5andhalfyears__50-64,70.83508653819180000000
13,2018-19,B,E12000002,North West,00BN,E08000003,Manchester,%,Coverage_in_period__25-64,63.42055707374600000000
13,2018-19,B,E12000002,North West,00BN,E08000003,Manchester,Number,Eligible__25-49,122068
13,2018-19,B,E12000002,North West,00BN,E08000003,Manchester,Number,Eligible__25-64,157717
13,2018-19,B,E12000002,North West,00BN,E08000003,Manchester,Number,Eligible__50-64,35649
13,2018-19,B,E12000002,North West,00BP,E08000004,Oldham,%,Coverage_3andhalfyears__25-49,69.63974918341560000000
