Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit,Indicator,Value
16a,2019-20,ENG,England,ENG,England,Number,Total_samples_All_Ages,3276400
16a,2019-20,ENG,England,ENG,England,%,0-2_Weeks_All_Ages,61.6522097424002000000
16a,2019-20,ENG,England,ENG,England,%,3-4_Weeks_All_Ages,17.9259553168111000000
16a,2019-20,ENG,England,ENG,England,%,5-6_Weeks_All_Ages,10.4566292272006000000
16a,2019-20,ENG,England,ENG,England,%,7-8_Weeks_All_Ages,5.0948602124282700000
16a,2019-20,ENG,England,ENG,England,%,9-10_Weeks_All_Ages,2.7227749969478700000
16a,2019-20,ENG,England,ENG,England,%,Over10_Weeks_All_Ages,2.1475705042119400000
16a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber",Number,Total_samples_All_Ages,482420
16a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber",%,0-2_Weeks_All_Ages,62.3158243853903000000
16a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber",%,3-4_Weeks_All_Ages,13.8584635794536000000
16a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber",%,5-6_Weeks_All_Ages,14.0844077774553000000
16a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber",%,7-8_Weeks_All_Ages,9.3089009576717400000
16a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber",%,9-10_Weeks_All_Ages,0.3797520832469630000
16a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber",%,Over10_Weeks_All_Ages,0.0526512167820571000
16a,2019-20,R1,North East,60050,University Hospital of North Durham,Number,Total_samples_All_Ages,18119
16a,2019-20,R1,North East,60050,University Hospital of North Durham,%,0-2_Weeks_All_Ages,53.8992218113582000000
16a,2019-20,R1,North East,60050,University Hospital of North Durham,%,3-4_Weeks_All_Ages,45.2784369998344000000
16a,2019-20,R1,North East,60050,University Hospital of North Durham,%,5-6_Weeks_All_Ages,0.8223411888073290000
