Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Unit,Indicator,Value
18a,2019-20,R1,North East,Number,1/8/3 result_CIN1_All_Ages,572
18a,2019-20,R1,North East,Number,1/8/3 result_CIN2_All_Ages,151
18a,2019-20,R1,North East,Number,1/8/3 result_CIN3_And_Adeno_All_Ages,60
18a,2019-20,R1,North East,Number,1/8/3 result_Cervical_cancer_All_Ages,0
18a,2019-20,R1,North East,Number,1/8/3 result_HPV_only_All_Ages,59
18a,2019-20,R1,North East,Number,1/8/3 result_Inadequate_biopsy_All_Ages,46
18a,2019-20,R1,North East,Number,1/8/3 result_No_CIN_No_HPV_All_Ages,116
18a,2019-20,R1,North East,Number,1/8/3 result_Non_cerv_cancer_All_Ages,0
18a,2019-20,R1,North East,Number,1/8/3 result_Seen_Colp_NAD_All_Ages,205
18a,2019-20,R1,North East,Number,1/8/3 result_Seen_Colp_result_n/k_All_Ages,19
18a,2019-20,R1,North East,Number,1/8/3 result_Total_all_results_All_Ages,1293
18a,2019-20,R2,North West,Number,1/8/3 result_CIN1_All_Ages,419
18a,2019-20,R2,North West,Number,1/8/3 result_CIN2_All_Ages,203
18a,2019-20,R2,North West,Number,1/8/3 result_CIN3_And_Adeno_All_Ages,89
18a,2019-20,R2,North West,Number,1/8/3 result_Cervical_cancer_All_Ages,1
18a,2019-20,R2,North West,Number,1/8/3 result_HPV_only_All_Ages,286
18a,2019-20,R2,North West,Number,1/8/3 result_Inadequate_biopsy_All_Ages,36
18a,2019-20,R2,North West,Number,1/8/3 result_No_CIN_No_HPV_All_Ages,80
18a,2019-20,R2,North West,Number,1/8/3 result_Non_cerv_cancer_All_Ages,0
18a,2019-20,R2,North West,Number,1/8/3 result_Seen_Colp_NAD_All_Ages,1374
18a,2019-20,R2,North West,Number,1/8/3 result_Seen_Colp_result_n/k_All_Ages,1
18a,2019-20,R2,North West,Number,1/8/3 result_Total_all_results_All_Ages,2643
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_CIN1_All_Ages,392
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_CIN2_All_Ages,160
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_CIN3_And_Adeno_All_Ages,81
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_Cervical_cancer_All_Ages,0
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_HPV_only_All_Ages,184
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_Inadequate_biopsy_All_Ages,39
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_No_CIN_No_HPV_All_Ages,253
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_Non_cerv_cancer_All_Ages,0
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_Seen_Colp_NAD_All_Ages,595
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_Seen_Colp_result_n/k_All_Ages,12
18a,2019-20,R3,Yorkshire and the Humber,Number,1/8/3 result_Total_all_results_All_Ages,1781
18a,2019-20,R4,East Midlands,Number,1/8/3 result_CIN1_All_Ages,397
18a,2019-20,R4,East Midlands,Number,1/8/3 result_CIN2_All_Ages,141
18a,2019-20,R4,East Midlands,Number,1/8/3 result_CIN3_And_Adeno_All_Ages,130
18a,2019-20,R4,East Midlands,Number,1/8/3 result_Cervical_cancer_All_Ages,2
18a,2019-20,R4,East Midlands,Number,1/8/3 result_HPV_only_All_Ages,200
18a,2019-20,R4,East Midlands,Number,1/8/3 result_Inadequate_biopsy_All_Ages,12
18a,2019-20,R4,East Midlands,Number,1/8/3 result_No_CIN_No_HPV_All_Ages,95
18a,2019-20,R4,East Midlands,Number,1/8/3 result_Non_cerv_cancer_All_Ages,0
18a,2019-20,R4,East Midlands,Number,1/8/3 result_Seen_Colp_NAD_All_Ages,421
18a,2019-20,R4,East Midlands,Number,1/8/3 result_Seen_Colp_result_n/k_All_Ages,0
18a,2019-20,R4,East Midlands,Number,1/8/3 result_Total_all_results_All_Ages,1456
