Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit,Indicator,Value
19a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,%,APV_C1_19-19,23.3644859813084000000
19a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,%,APV_C2_18-19,26.0338345864662000000
19a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,%,PPV_C1_19-19,76.8211920529801000000
19a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,%,PPV_C2_18-19,80.4788213627993000000
19a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,Rate,RV_C1_19-19,2.4712041884816800000
19a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,Rate,RV_C2_18-19,2.2507002801120400000
19a,2019-20,R1,North East,60103,Royal Victoria Infirmary,%,APV_C1_19-19,9.0342679127725800000
19a,2019-20,R1,North East,60103,Royal Victoria Infirmary,%,APV_C2_18-19,9.5238095238095200000
19a,2019-20,R1,North East,60103,Royal Victoria Infirmary,%,PPV_C1_19-19,67.4556213017752000000
19a,2019-20,R1,North East,60103,Royal Victoria Infirmary,%,PPV_C2_18-19,78.3737024221453000000
19a,2019-20,R1,North East,60103,Royal Victoria Infirmary,Rate,RV_C1_19-19,3.4265734265734300000
19a,2019-20,R1,North East,60103,Royal Victoria Infirmary,Rate,RV_C2_18-19,3.3572649572649600000
19a,2019-20,R1,North East,60050,University Hospital of North Durham,%,APV_C1_19-19,17.0542635658915000000
19a,2019-20,R1,North East,60050,University Hospital of North Durham,%,APV_C2_18-19,13.7931034482759000000
19a,2019-20,R1,North East,60050,University Hospital of North Durham,%,PPV_C1_19-19,77.7777777777778000000
19a,2019-20,R1,North East,60050,University Hospital of North Durham,%,PPV_C2_18-19,78.0748663101604000000
19a,2019-20,R1,North East,60050,University Hospital of North Durham,Rate,RV_C1_19-19,2.7042253521126800000
19a,2019-20,R1,North East,60050,University Hospital of North Durham,Rate,RV_C2_18-19,3.0194174757281600000
19a,2019-20,R1,North East,60110,University Hospital of North Tees,%,APV_C1_19-19,24.2307692307692000000
19a,2019-20,R1,North East,60110,University Hospital of North Tees,%,APV_C2_18-19,22.4679860302678000000
19a,2019-20,R1,North East,60110,University Hospital of North Tees,%,PPV_C1_19-19,87.2340425531915000000
19a,2019-20,R1,North East,60110,University Hospital of North Tees,%,PPV_C2_18-19,88.3587786259542000000
19a,2019-20,R1,North East,60110,University Hospital of North Tees,Rate,RV_C1_19-19,2.1559139784946200000
19a,2019-20,R1,North East,60110,University Hospital of North Tees,Rate,RV_C2_18-19,2.1082317073170700000
19a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,%,APV_C1_19-19,18.1347150259067000000
19a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,%,APV_C2_18-19,19.0124596215967000000
19a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,%,PPV_C1_19-19,81.1111111111111000000
19a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,%,PPV_C2_18-19,80.0920598388953000000
19a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,Rate,RV_C1_19-19,3.0239043824701200000
19a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,Rate,RV_C2_18-19,2.7400722021660600000
19a,2019-20,R8,South East,61440,John Radcliffe Hospital,%,APV_C1_19-19,13.2653061224490000000
19a,2019-20,R8,South East,61440,John Radcliffe Hospital,%,APV_C2_18-19,12.5263157894737000000
19a,2019-20,R8,South East,61440,John Radcliffe Hospital,%,PPV_C1_19-19,86.6071428571429000000
19a,2019-20,R8,South East,61440,John Radcliffe Hospital,%,PPV_C2_18-19,87.7551020408163000000
19a,2019-20,R8,South East,61440,John Radcliffe Hospital,Rate,RV_C1_19-19,2.9852941176470600000
19a,2019-20,R8,South East,61440,John Radcliffe Hospital,Rate,RV_C2_18-19,2.7490118577075100000
19a,2019-20,R10,South West,61600,Musgrove Park Hospital,%,APV_C1_19-19,17.7165354330709000000
19a,2019-20,R10,South West,61600,Musgrove Park Hospital,%,APV_C2_18-19,20.5607476635514000000
19a,2019-20,R10,South West,61600,Musgrove Park Hospital,%,PPV_C1_19-19,80.9160305343512000000
19a,2019-20,R10,South West,61600,Musgrove Park Hospital,%,PPV_C2_18-19,86.2068965517241000000
19a,2019-20,R10,South West,61600,Musgrove Park Hospital,Rate,RV_C1_19-19,2.5496688741721900000
19a,2019-20,R10,South West,61600,Musgrove Park Hospital,Rate,RV_C2_18-19,2.4610778443113800000
19a,2019-20,R8,South East,61355,Poole Hospital,%,APV_C1_19-19,16.7464114832536000000
19a,2019-20,R8,South East,61355,Poole Hospital,%,APV_C2_18-19,21.7884130982368000000
19a,2019-20,R8,South East,61355,Poole Hospital,%,PPV_C1_19-19,79.4117647058823000000
19a,2019-20,R8,South East,61355,Poole Hospital,%,PPV_C2_18-19,79.7202797202797000000
19a,2019-20,R8,South East,61355,Poole Hospital,Rate,RV_C1_19-19,2.6810344827586200000
19a,2019-20,R8,South East,61355,Poole Hospital,Rate,RV_C2_18-19,2.3747572815534000000
19a,2019-20,R8,South East,61350,Queen Alexandra Hospital,%,APV_C1_19-19,15.1724137931034000000
19a,2019-20,R8,South East,61350,Queen Alexandra Hospital,%,APV_C2_18-19,14.7090517241379000000
19a,2019-20,R8,South East,61350,Queen Alexandra Hospital,%,PPV_C1_19-19,87.2483221476510000000
19a,2019-20,R8,South East,61350,Queen Alexandra Hospital,%,PPV_C2_18-19,84.5468053491828000000
19a,2019-20,R8,South East,61350,Queen Alexandra Hospital,Rate,RV_C1_19-19,2.9795918367346900000
19a,2019-20,R8,South East,61350,Queen Alexandra Hospital,Rate,RV_C2_18-19,3.0035629453681700000
19a,2019-20,R10,South West,61555,Royal Cornwall Hospital,%,APV_C1_19-19,-1.0000000000000000000
19a,2019-20,R10,South West,61555,Royal Cornwall Hospital,%,APV_C2_18-19,23.6111111111111000000
19a,2019-20,R10,South West,61555,Royal Cornwall Hospital,%,PPV_C1_19-19,-1.0000000000000000000
19a,2019-20,R10,South West,61555,Royal Cornwall Hospital,%,PPV_C2_18-19,85.1851851851852000000
19a,2019-20,R10,South West,61555,Royal Cornwall Hospital,Rate,RV_C1_19-19,-1.0000000000000000000
19a,2019-20,R10,South West,61555,Royal Cornwall Hospital,Rate,RV_C2_18-19,2.4750000000000000000
19a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,%,APV_C1_19-19,14.6690518783542000000
19a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,%,APV_C2_18-19,15.1238591916558000000
19a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,%,PPV_C1_19-19,85.3535353535353000000
19a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,%,PPV_C2_18-19,86.9883040935673000000
19a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,Rate,RV_C1_19-19,3.0159362549800800000
19a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,Rate,RV_C2_18-19,2.6819830713422000000
19a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,%,APV_C1_19-19,11.8556701030928000000
19a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,%,APV_C2_18-19,13.9228598306679000000
19a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,%,PPV_C1_19-19,79.7872340425532000000
19a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,%,PPV_C2_18-19,77.6041666666667000000
19a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,Rate,RV_C1_19-19,2.9387755102040800000
19a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,Rate,RV_C2_18-19,3.2443946188340800000
19a,2019-20,R10,South West,61390,Royal United Hospital,%,APV_C1_19-19,15.5172413793103000000
19a,2019-20,R10,South West,61390,Royal United Hospital,%,APV_C2_18-19,17.3626373626374000000
19a,2019-20,R10,South West,61390,Royal United Hospital,%,PPV_C1_19-19,86.5979381443299000000
19a,2019-20,R10,South West,61390,Royal United Hospital,%,PPV_C2_18-19,85.7487922705314000000
19a,2019-20,R10,South West,61390,Royal United Hospital,Rate,RV_C1_19-19,2.7416666666666700000
19a,2019-20,R10,South West,61390,Royal United Hospital,Rate,RV_C2_18-19,2.5808966861598400000
19a,2019-20,R10,South West,61590,Southmead Hospital,%,APV_C1_19-19,15.3947368421053000000
19a,2019-20,R10,South West,61590,Southmead Hospital,%,APV_C2_18-19,19.6810579541035000000
19a,2019-20,R10,South West,61590,Southmead Hospital,%,PPV_C1_19-19,83.1715210355987000000
19a,2019-20,R10,South West,61590,Southmead Hospital,%,PPV_C2_18-19,86.3720073664825000000
19a,2019-20,R10,South West,61590,Southmead Hospital,Rate,RV_C1_19-19,2.8582887700534800000
19a,2019-20,R10,South West,61590,Southmead Hospital,Rate,RV_C2_18-19,2.5325484764542900000
19a,2019-20,R2,North West,61850,Arrowe Park Hospital,%,APV_C1_19-19,-1.0000000000000000000
19a,2019-20,R2,North West,61850,Arrowe Park Hospital,%,APV_C2_18-19,15.0224215246637000000
19a,2019-20,R2,North West,61850,Arrowe Park Hospital,%,PPV_C1_19-19,-1.0000000000000000000
19a,2019-20,R2,North West,61850,Arrowe Park Hospital,%,PPV_C2_18-19,93.0288461538462000000
19a,2019-20,R2,North West,61850,Arrowe Park Hospital,Rate,RV_C1_19-19,-1.0000000000000000000
19a,2019-20,R2,North West,61850,Arrowe Park Hospital,Rate,RV_C2_18-19,1.8986784140969200000
19a,2019-20,R2,North West,62010,Manchester Cytology Centre,%,APV_C1_19-19,13.3610451306413000000
19a,2019-20,R2,North West,62010,Manchester Cytology Centre,%,APV_C2_18-19,13.5254988913526000000
19a,2019-20,R2,North West,62010,Manchester Cytology Centre,%,PPV_C1_19-19,88.7990762124711000000
19a,2019-20,R2,North West,62010,Manchester Cytology Centre,%,PPV_C2_18-19,87.9444926279271000000
