Table_ref,Collection_Year,Unit,Indicator,Value
1,2010,%,Eligible_women_25-64,-1
1,2010,%,Screened_in_period_25-64,-1
1,2010,%,Coverage_in_period_25-64,-1
1,2010,%,Eligible_women_25-49,-1
1,2010,%,Screened_3andhalfyrs_25-49,-1
1,2010,%,Coverage_3andhalfyrs_25-49,-1
1,2010,%,Eligible_women_50-64,-1
1,2010,%,Screened_5andhalfyrs_50-64,-1
1,2010,%,Coverage_5andhalfyrs_50-64,-1
1,2011,%,Eligible_women_25-64,13581934
1,2011,%,Screened_in_period_25-64,10276895
1,2011,%,Coverage_in_period_25-64,75.66591768153200
1,2011,%,Eligible_women_25-49,9465617
1,2011,%,Screened_3andhalfyrs_25-49,6979462
1,2011,%,Coverage_3andhalfyrs_25-49,73.73488701264800
1,2011,%,Eligible_women_50-64,4116317
1,2011,%,Screened_5andhalfyrs_50-64,3297433
1,2011,%,Coverage_5andhalfyrs_50-64,80.106391223027800
1,2012,%,Eligible_women_25-64,13735136
1,2012,%,Screened_in_period_25-64,10351103
1,2012,%,Coverage_in_period_25-64,75.36221701772740
1,2012,%,Eligible_women_25-49,9564844
1,2012,%,Screened_3andhalfyrs_25-49,7018856
1,2012,%,Coverage_3andhalfyrs_25-49,73.38181365007100
1,2012,%,Eligible_women_50-64,4170292
1,2012,%,Screened_5andhalfyrs_50-64,3332247
1,2012,%,Coverage_5andhalfyrs_50-64,79.90440477549290
1,2013,%,Eligible_women_25-64,13659868
1,2013,%,Screened_in_period_25-64,10099268
1,2013,%,Coverage_in_period_25-64,73.93386231843530
1,2013,%,Eligible_women_25-49,9466983
1,2013,%,Screened_3andhalfyrs_25-49,6764953
1,2013,%,Coverage_3andhalfyrs_25-49,71.45838330965630
1,2013,%,Eligible_women_50-64,4192885
1,2013,%,Screened_5andhalfyrs_50-64,3334315
1,2013,%,Coverage_5andhalfyrs_50-64,79.52316841506500
1,2014,%,Eligible_women_25-64,13954489
1,2014,%,Screened_in_period_25-64,10348915
1,2014,%,Coverage_in_period_25-64,74.16190589279190
1,2014,%,Eligible_women_25-49,9627301
1,2014,%,Screened_3andhalfyrs_25-49,6914742
1,2014,%,Coverage_3andhalfyrs_25-49,71.82430465194760
1,2014,%,Eligible_women_50-64,4327188
1,2014,%,Screened_5andhalfyrs_50-64,3434173
1,2014,%,Coverage_5andhalfyrs_50-64,79.36269466452580
1,2015,%,Eligible_women_25-64,14165803
1,2015,%,Screened_in_period_25-64,10405033
1,2015,%,Coverage_in_period_25-64,73.45176973024400
1,2015,%,Eligible_women_25-49,9713476
1,2015,%,Screened_3andhalfyrs_25-49,6912810
1,2015,%,Coverage_3andhalfyrs_25-49,71.16721140815090
1,2015,%,Eligible_women_50-64,4452327
1,2015,%,Screened_5andhalfyrs_50-64,3492223
1,2015,%,Coverage_5andhalfyrs_50-64,78.43590553883400
1,2016,%,Eligible_women_25-64,14398174
1,2016,%,Screened_in_period_25-64,10464175
1,2016,%,Coverage_in_period_25-64,72.67709780420770
1,2016,%,Eligible_women_25-49,9817744
1,2016,%,Screened_3andhalfyrs_25-49,6890379
1,2016,%,Coverage_3andhalfyrs_25-49,70.18291574928010
1,2016,%,Eligible_women_50-64,4580430
1,2016,%,Screened_5andhalfyrs_50-64,3573796
1,2016,%,Coverage_5andhalfyrs_50-64,78.02315503129620
1,2017,%,Eligible_women_25-64,14671118
1,2017,%,Screened_in_period_25-64,10569162
1,2017,%,Coverage_in_period_25-64,72.04060385854710
1,2017,%,Eligible_women_25-49,9955943
1,2017,%,Screened_3andhalfyrs_25-49,6928519
1,2017,%,Coverage_3andhalfyrs_25-49,69.59179055163330
1,2017,%,Eligible_women_50-64,4715175
1,2017,%,Screened_5andhalfyrs_50-64,3640643
1,2017,%,Coverage_5andhalfyrs_50-64,77.21119576685910
1,2018,%,Eligible_women_25-64,14933811
1,2018,%,Screened_in_period_25-64,10665337
1,2018,%,Coverage_in_period_25-64,71.41738301094080
1,2018,%,Eligible_women_25-49,10088048
1,2018,%,Screened_3andhalfyrs_25-49,6970957
1,2018,%,Coverage_3andhalfyrs_25-49,69.10114821023850
1,2018,%,Eligible_women_50-64,4845763
1,2018,%,Screened_5andhalfyrs_50-64,3694380
1,2018,%,Coverage_5andhalfyrs_50-64,76.23938686229600
1,2019,%,Eligible_women_25-64,15190682
1,2019,%,Screened_in_period_25-64,10921980
1,2019,%,Coverage_in_period_25-64,71.89920768534290
1,2019,%,Eligible_women_25-49,10215117
1,2019,%,Screened_3andhalfyrs_25-49,7129573
1,2019,%,Coverage_3andhalfyrs_25-49,69.79433519948920
1,2019,%,Eligible_women_50-64,4975565
1,2019,%,Screened_5andhalfyrs_50-64,3792407
1,2019,%,Coverage_5andhalfyrs_50-64,76.22063021988460
1,2020,%,Eligible_women_25-64,15467216
1,2020,%,Screened_in_period_25-64,11163675
1,2020,%,Coverage_in_period_25-64,72.17636968411120
1,2020,%,Eligible_women_25-49,10367918
1,2020,%,Screened_3andhalfyrs_25-49,7281502
1,2020,%,Coverage_3andhalfyrs_25-49,70.23109171966830
1,2020,%,Eligible_women_50-64,5099298
1,2020,%,Screened_5andhalfyrs_50-64,3882173
1,2020,%,Coverage_5andhalfyrs_50-64,76.13151849529090
