Table_ref,Collection_Year,Unit,Indicator,Value
1,2010,Number,Cervical_Cancer_mortality_women_25to64,384
1,2010,Number,Cervical_Cancer_mortality_women_AllAges,753
1,2010,Rate,Cervical_cancer_mortality_per100000_25to64,2.8000000000000000
1,2010,Rate,Cervical_cancer_mortality_per100000_AllAges,2.9000000000000000
1,2010,Number,Cervical_cancer_registration_women_25to64,1858
1,2010,Number,Cervical_cancer_registration_women_AllAges,2369
1,2010,Rate,Cervical_cancer_reg_per100000_25to64,13.1000000000000000
1,2010,Rate,Cervical_cancer_reg_per100000_AllAges,8.9000000000000000
1,2011,Number,Cervical_Cancer_mortality_women_25to64,391
1,2011,Number,Cervical_Cancer_mortality_women_AllAges,781
1,2011,Rate,Cervical_cancer_mortality_per100000_25to64,2.8000000000000000
1,2011,Rate,Cervical_cancer_mortality_per100000_AllAges,3.0000000000000000
1,2011,Number,Cervical_cancer_registration_women_25to64,2008
1,2011,Number,Cervical_cancer_registration_women_AllAges,2557
1,2011,Rate,Cervical_cancer_reg_per100000_25to64,14.0000000000000000
1,2011,Rate,Cervical_cancer_reg_per100000_AllAges,9.6000000000000000
1,2012,Number,Cervical_Cancer_mortality_women_25to64,379
1,2012,Number,Cervical_Cancer_mortality_women_AllAges,742
1,2012,Rate,Cervical_cancer_mortality_per100000_25to64,2.7000000000000000
1,2012,Rate,Cervical_cancer_mortality_per100000_AllAges,2.8000000000000000
1,2012,Number,Cervical_cancer_registration_women_25to64,1979
1,2012,Number,Cervical_cancer_registration_women_AllAges,2547
1,2012,Rate,Cervical_cancer_reg_per100000_25to64,13.8000000000000000
1,2012,Rate,Cervical_cancer_reg_per100000_AllAges,9.5000000000000000
1,2013,Number,Cervical_Cancer_mortality_women_25to64,392
1,2013,Number,Cervical_Cancer_mortality_women_AllAges,721
1,2013,Rate,Cervical_cancer_mortality_per100000_25to64,2.8000000000000000
1,2013,Rate,Cervical_cancer_mortality_per100000_AllAges,2.7000000000000000
1,2013,Number,Cervical_cancer_registration_women_25to64,2064
1,2013,Number,Cervical_cancer_registration_women_AllAges,2681
1,2013,Rate,Cervical_cancer_reg_per100000_25to64,14.3000000000000000
1,2013,Rate,Cervical_cancer_reg_per100000_AllAges,9.9000000000000000
1,2014,Number,Cervical_Cancer_mortality_women_25to64,371
1,2014,Number,Cervical_Cancer_mortality_women_AllAges,726
1,2014,Rate,Cervical_cancer_mortality_per100000_25to64,2.7000000000000000
1,2014,Rate,Cervical_cancer_mortality_per100000_AllAges,2.7000000000000000
1,2014,Number,Cervical_cancer_registration_women_25to64,2020
1,2014,Number,Cervical_cancer_registration_women_AllAges,2611
1,2014,Rate,Cervical_cancer_reg_per100000_25to64,14.0000000000000000
1,2014,Rate,Cervical_cancer_reg_per100000_AllAges,9.6000000000000000
1,2015,Number,Cervical_Cancer_mortality_women_25to64,342
1,2015,Number,Cervical_Cancer_mortality_women_AllAges,660
1,2015,Rate,Cervical_cancer_mortality_per100000_25to64,2.4000000000000000
1,2015,Rate,Cervical_cancer_mortality_per100000_AllAges,2.4000000000000000
1,2015,Number,Cervical_cancer_registration_women_25to64,2008
1,2015,Number,Cervical_cancer_registration_women_AllAges,2533
1,2015,Rate,Cervical_cancer_reg_per100000_25to64,13.8000000000000000
1,2015,Rate,Cervical_cancer_reg_per100000_AllAges,9.2000000000000000
1,2016,Number,Cervical_Cancer_mortality_women_25to64,358
1,2016,Number,Cervical_Cancer_mortality_women_AllAges,682
1,2016,Rate,Cervical_cancer_mortality_per100000_25to64,2.5000000000000000
1,2016,Rate,Cervical_cancer_mortality_per100000_AllAges,2.5000000000000000
1,2016,Number,Cervical_cancer_registration_women_25to64,2064
1,2016,Number,Cervical_cancer_registration_women_AllAges,2607
1,2016,Rate,Cervical_cancer_reg_per100000_25to64,14.2000000000000000
1,2016,Rate,Cervical_cancer_reg_per100000_AllAges,9.5000000000000000
1,2017,Number,Cervical_Cancer_mortality_women_25to64,358
1,2017,Number,Cervical_Cancer_mortality_women_AllAges,674
1,2017,Rate,Cervical_cancer_mortality_per100000_25to64,2.5000000000000000
1,2017,Rate,Cervical_cancer_mortality_per100000_AllAges,2.4000000000000000
1,2017,Number,Cervical_cancer_registration_women_25to64,2053
1,2017,Number,Cervical_cancer_registration_women_AllAges,2591
1,2017,Rate,Cervical_cancer_reg_per100000_25to64,14.1000000000000000
1,2017,Rate,Cervical_cancer_reg_per100000_AllAges,9.4000000000000000
1,2018,Number,Cervical_Cancer_mortality_women_25to64,373
1,2018,Number,Cervical_Cancer_mortality_women_AllAges,701
1,2018,Rate,Cervical_cancer_mortality_per100000_25to64,2.6000000000000000
1,2018,Rate,Cervical_cancer_mortality_per100000_AllAges,2.5000000000000000
1,2018,Number,Cervical_cancer_registration_women_25to64,-1
1,2018,Number,Cervical_cancer_registration_women_AllAges,-1
1,2018,Rate,Cervical_cancer_reg_per100000_25to64,-1.0000000000000000
1,2018,Rate,Cervical_cancer_reg_per100000_AllAges,-1.0000000000000000
1,2019,Number,Cervical_Cancer_mortality_women_25to64,-1
1,2019,Number,Cervical_Cancer_mortality_women_AllAges,-1
1,2019,Rate,Cervical_cancer_mortality_per100000_25to64,-1.0000000000000000
1,2019,Rate,Cervical_cancer_mortality_per100000_AllAges,-1.0000000000000000
1,2019,Number,Cervical_cancer_registration_women_25to64,-1
1,2019,Number,Cervical_cancer_registration_women_AllAges,-1
1,2019,Rate,Cervical_cancer_reg_per100000_25to64,-1.0000000000000000
1,2019,Rate,Cervical_cancer_reg_per100000_AllAges,-1.0000000000000000
1,2020,Number,Cervical_Cancer_mortality_women_25to64,-1.0000000000000000
1,2020,Number,Cervical_Cancer_mortality_women_AllAges,-1.0000000000000000
1,2020,Rate,Cervical_cancer_mortality_per100000_25to64,-1.0000000000000000
1,2020,Rate,Cervical_cancer_mortality_per100000_AllAges,-1.0000000000000000
1,2020,Number,Cervical_cancer_registration_women_25to64,-1.0000000000000000
1,2020,Number,Cervical_cancer_registration_women_AllAges,-1.0000000000000000
1,2020,Rate,Cervical_cancer_reg_per100000_25to64,-1.0000000000000000
1,2020,Rate,Cervical_cancer_reg_per100000_AllAges,-1.0000000000000000
