Table_ref,Collection_Year,Unit,Indicator,Value
1a,2010,%,Coverage_<3.5yrs_20to24,5.694134534037610000
1a,2010,%,Coverage_<3.5yrs_25to29,62.847639356838700000
1a,2010,%,Coverage_<3.5yrs_25to49,73.971367523338100000
1a,2010,%,Coverage_<3.5yrs_25to64,69.316422025435100000
1a,2010,%,Coverage_<3.5yrs_30to34,72.787615776819400000
1a,2010,%,Coverage_<3.5yrs_35to39,76.857137767494700000
1a,2010,%,Coverage_<3.5yrs_40to44,78.690253716901700000
1a,2010,%,Coverage_<3.5yrs_45to49,79.052560624921900000
1a,2010,%,Coverage_<3.5yrs_50to54,74.203491806389700000
1a,2010,%,Coverage_<3.5yrs_55to59,50.762516661096700000
1a,2010,%,Coverage_<3.5yrs_60to64,47.151925264038700000
1a,2010,%,Coverage_<3.5yrs_65to69,24.299061536719300000
1a,2010,%,Coverage_<3.5yrs_70to74,3.207338911179060000
1a,2010,%,Coverage_<3.5yrs_75_and_over,0.400873323026942000
1a,2010,%,Coverage_<3.5yrs_<20,0.068694964967324800
1a,2010,%,Coverage_<5yrs_20to24,6.208182060673050000
1a,2010,%,Coverage_<5yrs_25to29,66.039762888173500000
1a,2010,%,Coverage_<5yrs_25to64,78.875444856628600000
1a,2010,%,Coverage_<5yrs_30to34,78.620192398914700000
1a,2010,%,Coverage_<5yrs_35to39,82.345612259226000000
1a,2010,%,Coverage_<5yrs_40to44,83.775489154042100000
1a,2010,%,Coverage_<5yrs_45to49,83.985996879739500000
1a,2010,%,Coverage_<5yrs_50to54,82.639796542940600000
1a,2010,%,Coverage_<5yrs_50to64,78.910971035310000000
1a,2010,%,Coverage_<5yrs_55to59,78.344292023727400000
1a,2010,%,Coverage_<5yrs_60to64,75.070191506155500000
1a,2010,%,Coverage_<5yrs_65to69,49.593104014312300000
1a,2010,%,Coverage_<5yrs_70to74,6.881451761259510000
1a,2010,%,Coverage_<5yrs_75_and_over,0.727434862074138000
1a,2010,%,Coverage_<5yrs_<20,0.069269951886372400
1a,2011,%,Coverage_<3.5yrs_20to24,4.579647894485320000
1a,2011,%,Coverage_<3.5yrs_25to29,62.541730523562400000
1a,2011,%,Coverage_<3.5yrs_25to49,73.731918153703400000
