Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Indicator,Unit,Value
25,2019-20,ENG,England,Biopsies_reported_All_Ages,Number,15644
25,2019-20,ENG,England,Biopsies_unknown_All_Ages,Number,19
25,2019-20,ENG,England,Biopsies_known_All_Ages,Number,15625
25,2019-20,ENG,England,Cancer_All_Ages,%,2.0032000000000000000
25,2019-20,ENG,England,Adeno_in_situ_All_Ages,%,2.8864000000000000000
25,2019-20,ENG,England,CIN3_All_Ages,%,43.6992000000000000000
25,2019-20,ENG,England,CIN2_All_Ages,%,23.9424000000000000000
25,2019-20,ENG,England,CIN1_All_Ages,%,11.8080000000000000000
25,2019-20,ENG,England,HPV_cerv_All_Ages,%,5.2928000000000000000
25,2019-20,ENG,England,NoCIN_NoHPV_All_Ages,%,10.1312000000000000000
25,2019-20,ENG,England,Inad_biopsy_All_Ages,%,0.2368000000000000000
25,2019-20,ENG,England,CIN_or_worse_All_Ages,%,84.3392000000000000000
25,2019-20,NEYH,"North East, Yorkshire and the Humber",Biopsies_reported_All_Ages,Number,2452
25,2019-20,NEYH,"North East, Yorkshire and the Humber",Biopsies_unknown_All_Ages,Number,3
25,2019-20,NEYH,"North East, Yorkshire and the Humber",Biopsies_known_All_Ages,Number,2449
25,2019-20,NEYH,"North East, Yorkshire and the Humber",Cancer_All_Ages,%,2.2866476112699100000
25,2019-20,NEYH,"North East, Yorkshire and the Humber",Adeno_in_situ_All_Ages,%,3.2258064516129000000
25,2019-20,NEYH,"North East, Yorkshire and the Humber",CIN3_All_Ages,%,42.7929767251940000000
25,2019-20,NEYH,"North East, Yorkshire and the Humber",CIN2_All_Ages,%,25.3164556962025000000
25,2019-20,NEYH,"North East, Yorkshire and the Humber",CIN1_All_Ages,%,10.7799101674153000000
25,2019-20,NEYH,"North East, Yorkshire and the Humber",HPV_cerv_All_Ages,%,3.5933033891384200000
25,2019-20,NEYH,"North East, Yorkshire and the Humber",NoCIN_NoHPV_All_Ages,%,11.8824009799918000000
25,2019-20,NEYH,"North East, Yorkshire and the Humber",Inad_biopsy_All_Ages,%,0.1224989791751740000
25,2019-20,NEYH,"North East, Yorkshire and the Humber",CIN_or_worse_All_Ages,%,84.4017966516946000000
25,2019-20,R1,North East,Biopsies_reported_All_Ages,Number,946
25,2019-20,R1,North East,Biopsies_unknown_All_Ages,Number,0
25,2019-20,R1,North East,Biopsies_known_All_Ages,Number,946
25,2019-20,R1,North East,Cancer_All_Ages,%,1.6913319238900600000
25,2019-20,R1,North East,Adeno_in_situ_All_Ages,%,2.6427061310782200000
25,2019-20,R1,North East,CIN3_All_Ages,%,42.6004228329810000000
25,2019-20,R1,North East,CIN2_All_Ages,%,29.3868921775899000000
25,2019-20,R1,North East,CIN1_All_Ages,%,16.3847780126850000000
25,2019-20,R1,North East,HPV_cerv_All_Ages,%,2.4312896405919700000
25,2019-20,R1,North East,NoCIN_NoHPV_All_Ages,%,4.7568710359408000000
25,2019-20,R1,North East,Inad_biopsy_All_Ages,%,0.1057082452431290000
25,2019-20,R1,North East,CIN_or_worse_All_Ages,%,92.7061310782241000000
25,2019-20,R10,South West,Biopsies_reported_All_Ages,Number,2722
25,2019-20,R10,South West,Biopsies_unknown_All_Ages,Number,1
25,2019-20,R10,South West,Biopsies_known_All_Ages,Number,2721
25,2019-20,R10,South West,Cancer_All_Ages,%,1.9845644983462000000
25,2019-20,R10,South West,Adeno_in_situ_All_Ages,%,2.7195883866225700000
25,2019-20,R10,South West,CIN3_All_Ages,%,44.9467107681000000000
25,2019-20,R10,South West,CIN2_All_Ages,%,24.1822859242925000000
25,2019-20,R10,South West,CIN1_All_Ages,%,12.6056596839397000000
25,2019-20,R10,South West,HPV_cerv_All_Ages,%,4.8144064682102200000
25,2019-20,R10,South West,NoCIN_NoHPV_All_Ages,%,8.4527747151782400000
25,2019-20,R10,South West,Inad_biopsy_All_Ages,%,0.2940095553105480000
25,2019-20,R10,South West,CIN_or_worse_All_Ages,%,86.4388092613010000000
25,2019-20,R2,North West,Biopsies_reported_All_Ages,Number,2619
25,2019-20,R2,North West,Biopsies_unknown_All_Ages,Number,10
25,2019-20,R2,North West,Biopsies_known_All_Ages,Number,2609
25,2019-20,R2,North West,Cancer_All_Ages,%,2.1847451130701400000
25,2019-20,R2,North West,Adeno_in_situ_All_Ages,%,3.4495975469528600000
25,2019-20,R2,North West,CIN3_All_Ages,%,45.2663855883480000000
25,2019-20,R2,North West,CIN2_All_Ages,%,21.4641625143733000000
25,2019-20,R2,North West,CIN1_All_Ages,%,9.8121885779992300000
25,2019-20,R2,North West,HPV_cerv_All_Ages,%,7.5507857416634700000
25,2019-20,R2,North West,NoCIN_NoHPV_All_Ages,%,9.8121885779992300000
25,2019-20,R2,North West,Inad_biopsy_All_Ages,%,0.4599463395937140000
25,2019-20,R2,North West,CIN_or_worse_All_Ages,%,82.1770793407436000000
25,2019-20,R3,Yorkshire and the Humber,Biopsies_reported_All_Ages,Number,1506
25,2019-20,R3,Yorkshire and the Humber,Biopsies_unknown_All_Ages,Number,3
25,2019-20,R3,Yorkshire and the Humber,Biopsies_known_All_Ages,Number,1503
25,2019-20,R3,Yorkshire and the Humber,Cancer_All_Ages,%,2.6613439787092500000
25,2019-20,R3,Yorkshire and the Humber,Adeno_in_situ_All_Ages,%,3.5928143712574800000
25,2019-20,R3,Yorkshire and the Humber,CIN3_All_Ages,%,42.9141716566866000000
25,2019-20,R3,Yorkshire and the Humber,CIN2_All_Ages,%,22.7544910179641000000
25,2019-20,R3,Yorkshire and the Humber,CIN1_All_Ages,%,7.2521623419827000000
25,2019-20,R3,Yorkshire and the Humber,HPV_cerv_All_Ages,%,4.3246839654025300000
25,2019-20,R3,Yorkshire and the Humber,NoCIN_NoHPV_All_Ages,%,16.3672654690619000000
25,2019-20,R3,Yorkshire and the Humber,Inad_biopsy_All_Ages,%,0.1330671989354620000
25,2019-20,R3,Yorkshire and the Humber,CIN_or_worse_All_Ages,%,79.1749833666001000000
25,2019-20,R4,East Midlands,Biopsies_reported_All_Ages,Number,1368
25,2019-20,R4,East Midlands,Biopsies_unknown_All_Ages,Number,0
25,2019-20,R4,East Midlands,Biopsies_known_All_Ages,Number,1368
25,2019-20,R4,East Midlands,Cancer_All_Ages,%,2.4122807017543900000
25,2019-20,R4,East Midlands,Adeno_in_situ_All_Ages,%,2.5584795321637400000
25,2019-20,R4,East Midlands,CIN3_All_Ages,%,47.9532163742690000000
