Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Clinic_Name,Unit,Indicator,Value
26a,2019-20,ENG,England,ENG,England,England,Number,Total_referrals_All_Ages,191563
26a,2019-20,ENG,England,ENG,England,England,%,Clinical_Indication_All_Ages,27.1633875017618000000
26a,2019-20,ENG,England,ENG,England,England,Number,Mod_sev_dys_number_cases_All_Ages,30925
26a,2019-20,ENG,England,ENG,England,England,%,Mod_sev_dys_<4wks_wait_All_Ages,98.9232012934519000000
26a,2019-20,ENG,England,ENG,England,England,Number,Sev_Inv_dys_number_cases_All_Ages,469
26a,2019-20,ENG,England,ENG,England,England,%,Sev_inv_dys_<2wks_wait_All_Ages,97.4413646055437000000
26a,2019-20,ENG,England,ENG,England,England,Number,Gland_neo_number_cases_All_Ages,1102
26a,2019-20,ENG,England,ENG,England,England,%,Gland_neo_<2wks_wait_All_Ages,97.0961887477314000000
26a,2019-20,ENG,England,ENG,England,England,Number,Appointments_Colposcopy_All_Ages,411559
26a,2019-20,ENG,England,ENG,England,England,%,Attended_Colposcopy_All_Ages,71.4004553417614000000
26a,2019-20,ENG,England,ENG,England,England,%,DNA_Colposcopy_All_Ages,7.5972096345845900000
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",Number,Total_referrals_All_Ages,27317
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",%,Clinical_Indication_All_Ages,33.4041073324304000000
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",Number,Mod_sev_dys_number_cases_All_Ages,4888
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",%,Mod_sev_dys_<4wks_wait_All_Ages,99.1816693944354000000
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",Number,Sev_Inv_dys_number_cases_All_Ages,70
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",%,Sev_inv_dys_<2wks_wait_All_Ages,98.5714285714286000000
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",Number,Gland_neo_number_cases_All_Ages,185
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",%,Gland_neo_<2wks_wait_All_Ages,98.9189189189189000000
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",Number,Appointments_Colposcopy_All_Ages,53604
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",%,Attended_Colposcopy_All_Ages,74.0728303857921000000
26a,2019-20,NEYH,"North East, Yorkshire and the Humber",NEYH,"North East, Yorkshire and the Humber","North East, Yorkshire and the Humber",%,DNA_Colposcopy_All_Ages,7.6524139989553000000
26a,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,Number,Total_referrals_All_Ages,262
26a,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,Clinical_Indication_All_Ages,35.4961832061069000000
26a,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,Number,Mod_sev_dys_number_cases_All_Ages,43
26a,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,Mod_sev_dys_<4wks_wait_All_Ages,100.0000000000000000000
26a,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,Number,Sev_Inv_dys_number_cases_All_Ages,0
