Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Clinic_Name,Unit,Indicator,Value
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,Number,All_referrals_All_Ages,252
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,No_procedure_All_Ages,36.1111111111111000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,Procedure_used_All_Ages,63.8888888888889000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,Diagnostic_biopsy_All_Ages,38.0952380952381000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,Excision_All_Ages,25.3968253968254000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,Ablation_without_biopsy_All_Ages,0.3968253968253970000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,Other_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,Biopsy_informed_within8wks_All_Ages,100.0000000000000000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside District Hospital,%,NonDiagBiop_CINorWorse_All_Ages,97.5000000000000000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,Number,All_referrals_All_Ages,1235
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,%,No_procedure_All_Ages,22.5101214574899000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,%,Procedure_used_All_Ages,77.4898785425101000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,%,Diagnostic_biopsy_All_Ages,64.8582995951417000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,%,Excision_All_Ages,12.5506072874494000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,%,Other_All_Ages,0.0809716599190283000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,%,Biopsy_informed_within8wks_All_Ages,100.0000000000000000000
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,Sunderland Royal Hospital,%,NonDiagBiop_CINorWorse_All_Ages,100.0000000000000000000
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,Number,All_referrals_All_Ages,1066
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,%,No_procedure_All_Ages,23.7335834896811000000
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,%,Procedure_used_All_Ages,76.2664165103189000000
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,%,Diagnostic_biopsy_All_Ages,62.5703564727955000000
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,%,Excision_All_Ages,13.3208255159475000000
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,%,Other_All_Ages,0.3752345215759850000
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,%,Biopsy_informed_within8wks_All_Ages,98.5200845665962000000
