Table_ref,Collection_Year,Unit,Indicator,Value
3,2019-20,Number,Called_Never_Attend_20to24,307950
3,2019-20,Number,Called_Never_Attend_25to29,767383
3,2019-20,Number,Called_Never_Attend_30to34,414307
3,2019-20,Number,Called_Never_Attend_35to39,238806
3,2019-20,Number,Called_Never_Attend_40to44,143022
3,2019-20,Number,Called_Never_Attend_45to49,101441
3,2019-20,Number,Called_Never_Attend_50to54,80506
3,2019-20,Number,Called_Never_Attend_55to59,67351
3,2019-20,Number,Called_Never_Attend_60to64,58394
3,2019-20,Number,Called_Never_Attend_65to69,47202
3,2019-20,Number,Called_Never_Attend_70to74,47136
3,2019-20,Number,Called_Never_Attend_75to79,41113
3,2019-20,Number,Called_Never_Attend_<20,3
3,2019-20,Number,Called_Never_Attend_>=80,126833
3,2019-20,Number,Called_Not_Adeq_20to24,289
3,2019-20,Number,Called_Not_Adeq_25to29,5616
3,2019-20,Number,Called_Not_Adeq_30to34,4777
3,2019-20,Number,Called_Not_Adeq_35to39,3853
3,2019-20,Number,Called_Not_Adeq_40to44,3026
3,2019-20,Number,Called_Not_Adeq_45to49,2247
3,2019-20,Number,Called_Not_Adeq_50to54,1735
3,2019-20,Number,Called_Not_Adeq_55to59,1491
3,2019-20,Number,Called_Not_Adeq_60to64,1245
3,2019-20,Number,Called_Not_Adeq_65to69,1070
3,2019-20,Number,Called_Not_Adeq_70to74,1065
3,2019-20,Number,Called_Not_Adeq_75to79,951
3,2019-20,Number,Called_Not_Adeq_<20,3
3,2019-20,Number,Called_Not_Adeq_>=80,2933
3,2019-20,Number,No_Cyt_Records_20to24,1600275
3,2019-20,Number,No_Cyt_Records_25to29,3375
3,2019-20,Number,No_Cyt_Records_30to34,1056
3,2019-20,Number,No_Cyt_Records_35to39,456
3,2019-20,Number,No_Cyt_Records_40to44,242
3,2019-20,Number,No_Cyt_Records_45to49,177
3,2019-20,Number,No_Cyt_Records_50to54,91
3,2019-20,Number,No_Cyt_Records_55to59,67
3,2019-20,Number,No_Cyt_Records_60to64,97
3,2019-20,Number,No_Cyt_Records_65to69,10607
3,2019-20,Number,No_Cyt_Records_70to74,19433
3,2019-20,Number,No_Cyt_Records_75to79,24031
3,2019-20,Number,No_Cyt_Records_<20,6661030
3,2019-20,Number,No_Cyt_Records_>=80,116685
3,2019-20,Number,Tested_1.5to3yrs_20to24,1600
3,2019-20,Number,Tested_1.5to3yrs_25to29,480017
3,2019-20,Number,Tested_1.5to3yrs_30to34,694700
