Table_ref,Collection_Year,Unit,Indicator,Value
8,2019-20,Number,Borderline_changes_20to24,746
8,2019-20,Number,Borderline_changes_25to29,14013
8,2019-20,Number,Borderline_changes_30to34,10675
8,2019-20,Number,Borderline_changes_35to39,7556
8,2019-20,Number,Borderline_changes_40to44,5840
8,2019-20,Number,Borderline_changes_45to49,5595
8,2019-20,Number,Borderline_changes_50to54,4162
8,2019-20,Number,Borderline_changes_55to59,2547
8,2019-20,Number,Borderline_changes_60to64,1532
8,2019-20,Number,Borderline_changes_65to69,320
8,2019-20,Number,Borderline_changes_70to74,62
8,2019-20,Number,Borderline_changes_<20,6
8,2019-20,Number,Borderline_changes_>=75,18
8,2019-20,Number,Glandular_neoplasia_20to24,3
8,2019-20,Number,Glandular_neoplasia_25to29,158
8,2019-20,Number,Glandular_neoplasia_30to34,338
8,2019-20,Number,Glandular_neoplasia_35to39,250
8,2019-20,Number,Glandular_neoplasia_40to44,159
8,2019-20,Number,Glandular_neoplasia_45to49,126
8,2019-20,Number,Glandular_neoplasia_50to54,57
8,2019-20,Number,Glandular_neoplasia_55to59,42
8,2019-20,Number,Glandular_neoplasia_60to64,24
8,2019-20,Number,Glandular_neoplasia_65to69,1
8,2019-20,Number,Glandular_neoplasia_70to74,1
8,2019-20,Number,Glandular_neoplasia_<20,0
8,2019-20,Number,Glandular_neoplasia_>=75,0
8,2019-20,Number,Low_Grade_dyskaryosis_20to24,1668
8,2019-20,Number,Low_Grade_dyskaryosis_25to29,23640
8,2019-20,Number,Low_Grade_dyskaryosis_30to34,15359
8,2019-20,Number,Low_Grade_dyskaryosis_35to39,9554
8,2019-20,Number,Low_Grade_dyskaryosis_40to44,6980
8,2019-20,Number,Low_Grade_dyskaryosis_45to49,6225
8,2019-20,Number,Low_Grade_dyskaryosis_50to54,4423
8,2019-20,Number,Low_Grade_dyskaryosis_55to59,2762
8,2019-20,Number,Low_Grade_dyskaryosis_60to64,1521
8,2019-20,Number,Low_Grade_dyskaryosis_65to69,408
8,2019-20,Number,Low_Grade_dyskaryosis_70to74,81
8,2019-20,Number,Low_Grade_dyskaryosis_<20,9
8,2019-20,Number,Low_Grade_dyskaryosis_>=75,33
8,2019-20,Number,Moderate_dyskaryosis_20to24,229
8,2019-20,Number,Moderate_dyskaryosis_25to29,4752
8,2019-20,Number,Moderate_dyskaryosis_30to34,4160
8,2019-20,Number,Moderate_dyskaryosis_35to39,2504
8,2019-20,Number,Moderate_dyskaryosis_40to44,1457
8,2019-20,Number,Moderate_dyskaryosis_45to49,1046
8,2019-20,Number,Moderate_dyskaryosis_50to54,699
8,2019-20,Number,Moderate_dyskaryosis_55to59,490
8,2019-20,Number,Moderate_dyskaryosis_60to64,300
8,2019-20,Number,Moderate_dyskaryosis_65to69,68
8,2019-20,Number,Moderate_dyskaryosis_70to74,15
8,2019-20,Number,Moderate_dyskaryosis_<20,2
8,2019-20,Number,Moderate_dyskaryosis_>=75,3
8,2019-20,Number,Negative_20to24,31248
8,2019-20,Number,Negative_25to29,476552
8,2019-20,Number,Negative_30to34,470724
8,2019-20,Number,Negative_35to39,466487
8,2019-20,Number,Negative_40to44,413755
8,2019-20,Number,Negative_45to49,419270
8,2019-20,Number,Negative_50to54,327122
8,2019-20,Number,Negative_55to59,259817
8,2019-20,Number,Negative_60to64,186459
8,2019-20,Number,Negative_65to69,17660
8,2019-20,Number,Negative_70to74,1057
8,2019-20,Number,Negative_<20,102
8,2019-20,Number,Negative_>=75,328
8,2019-20,Number,Severe_dyskaryosis_20to24,178
8,2019-20,Number,Severe_dyskaryosis_25to29,4620
8,2019-20,Number,Severe_dyskaryosis_30to34,4813
8,2019-20,Number,Severe_dyskaryosis_35to39,2707
8,2019-20,Number,Severe_dyskaryosis_40to44,1624
8,2019-20,Number,Severe_dyskaryosis_45to49,1110
8,2019-20,Number,Severe_dyskaryosis_50to54,677
8,2019-20,Number,Severe_dyskaryosis_55to59,544
8,2019-20,Number,Severe_dyskaryosis_60to64,330
8,2019-20,Number,Severe_dyskaryosis_65to69,73
8,2019-20,Number,Severe_dyskaryosis_70to74,16
8,2019-20,Number,Severe_dyskaryosis_<20,0
8,2019-20,Number,Severe_dyskaryosis_>=75,7
8,2019-20,Number,Severe_dyskaryosis_Inv_20to24,2
8,2019-20,Number,Severe_dyskaryosis_Inv_25to29,71
8,2019-20,Number,Severe_dyskaryosis_Inv_30to34,109
8,2019-20,Number,Severe_dyskaryosis_Inv_35to39,111
8,2019-20,Number,Severe_dyskaryosis_Inv_40to44,83
8,2019-20,Number,Severe_dyskaryosis_Inv_45to49,62
8,2019-20,Number,Severe_dyskaryosis_Inv_50to54,50
8,2019-20,Number,Severe_dyskaryosis_Inv_55to59,67
8,2019-20,Number,Severe_dyskaryosis_Inv_60to64,42
8,2019-20,Number,Severe_dyskaryosis_Inv_65to69,14
8,2019-20,Number,Severe_dyskaryosis_Inv_70to74,3
8,2019-20,Number,Severe_dyskaryosis_Inv_<20,0
8,2019-20,Number,Severe_dyskaryosis_Inv_>=75,4
