Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
9a,2019-20,A,North East,00EJ,E06000047,County Durham,Number,EDD_IN_15_TO_21_DAYS_25to64,4946
9a,2019-20,A,North East,00EJ,E06000047,County Durham,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,10279
9a,2019-20,A,North East,00EJ,E06000047,County Durham,Number,EDD_WITHIN_14_DAYS_25to64,14217
9a,2019-20,A,North East,00EH,E06000005,Darlington,Number,EDD_IN_15_TO_21_DAYS_25to64,1046
9a,2019-20,A,North East,00EH,E06000005,Darlington,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2199
9a,2019-20,A,North East,00EH,E06000005,Darlington,Number,EDD_WITHIN_14_DAYS_25to64,3322
9a,2019-20,A,North East,00CH,E08000037,Gateshead,Number,EDD_IN_15_TO_21_DAYS_25to64,536
9a,2019-20,A,North East,00CH,E08000037,Gateshead,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1223
9a,2019-20,A,North East,00CH,E08000037,Gateshead,Number,EDD_WITHIN_14_DAYS_25to64,10000
9a,2019-20,A,North East,00EB,E06000001,Hartlepool,Number,EDD_IN_15_TO_21_DAYS_25to64,1285
9a,2019-20,A,North East,00EB,E06000001,Hartlepool,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,1811
9a,2019-20,A,North East,00EB,E06000001,Hartlepool,Number,EDD_WITHIN_14_DAYS_25to64,1958
9a,2019-20,A,North East,00EC,E06000002,Middlesbrough,Number,EDD_IN_15_TO_21_DAYS_25to64,2042
9a,2019-20,A,North East,00EC,E06000002,Middlesbrough,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2964
9a,2019-20,A,North East,00EC,E06000002,Middlesbrough,Number,EDD_WITHIN_14_DAYS_25to64,2729
9a,2019-20,A,North East,00CJ,E08000021,Newcastle upon Tyne,Number,EDD_IN_15_TO_21_DAYS_25to64,1359
9a,2019-20,A,North East,00CJ,E08000021,Newcastle upon Tyne,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7892
9a,2019-20,A,North East,00CJ,E08000021,Newcastle upon Tyne,Number,EDD_WITHIN_14_DAYS_25to64,7260
9a,2019-20,A,North East,00CK,E08000022,North Tyneside,Number,EDD_IN_15_TO_21_DAYS_25to64,440
9a,2019-20,A,North East,00CK,E08000022,North Tyneside,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7312
9a,2019-20,A,North East,00CK,E08000022,North Tyneside,Number,EDD_WITHIN_14_DAYS_25to64,4757
9a,2019-20,A,North East,00EM,E06000057,Northumberland,Number,EDD_IN_15_TO_21_DAYS_25to64,564
9a,2019-20,A,North East,00EM,E06000057,Northumberland,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,10392
9a,2019-20,A,North East,00EM,E06000057,Northumberland,Number,EDD_WITHIN_14_DAYS_25to64,6439
9a,2019-20,A,North East,00EE,E06000003,Redcar and Cleveland,Number,EDD_IN_15_TO_21_DAYS_25to64,1994
9a,2019-20,A,North East,00EE,E06000003,Redcar and Cleveland,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2852
9a,2019-20,A,North East,00EE,E06000003,Redcar and Cleveland,Number,EDD_WITHIN_14_DAYS_25to64,2821
9a,2019-20,A,North East,00CL,E08000023,South Tyneside,Number,EDD_IN_15_TO_21_DAYS_25to64,408
9a,2019-20,A,North East,00CL,E08000023,South Tyneside,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,881
9a,2019-20,A,North East,00CL,E08000023,South Tyneside,Number,EDD_WITHIN_14_DAYS_25to64,7227
9a,2019-20,A,North East,00EF,E06000004,Stockton-on-Tees,Number,EDD_IN_15_TO_21_DAYS_25to64,2920
9a,2019-20,A,North East,00EF,E06000004,Stockton-on-Tees,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3979
9a,2019-20,A,North East,00EF,E06000004,Stockton-on-Tees,Number,EDD_WITHIN_14_DAYS_25to64,4230
9a,2019-20,A,North East,00CM,E08000024,Sunderland,Number,EDD_IN_15_TO_21_DAYS_25to64,1566
9a,2019-20,A,North East,00CM,E08000024,Sunderland,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,3158
9a,2019-20,A,North East,00CM,E08000024,Sunderland,Number,EDD_WITHIN_14_DAYS_25to64,11694
9a,2019-20,B,North West,00EX,E06000008,Blackburn with Darwen,Number,EDD_IN_15_TO_21_DAYS_25to64,1661
9a,2019-20,B,North West,00EX,E06000008,Blackburn with Darwen,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,2489
9a,2019-20,B,North West,00EX,E06000008,Blackburn with Darwen,Number,EDD_WITHIN_14_DAYS_25to64,3666
9a,2019-20,B,North West,00EY,E06000009,Blackpool,Number,EDD_IN_15_TO_21_DAYS_25to64,2801
9a,2019-20,B,North West,00EY,E06000009,Blackpool,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,810
9a,2019-20,B,North West,00EY,E06000009,Blackpool,Number,EDD_WITHIN_14_DAYS_25to64,4484
9a,2019-20,B,North West,00BL,E08000001,Bolton,Number,EDD_IN_15_TO_21_DAYS_25to64,5195
