CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Authorisation_Time,Indicator,Unit,Value
2014-15,ENG,England,0 to 2 Weeks,Samples_Examined,Number,3155532
2014-15,ENG,England,0 to 2 Weeks,Samples_Examined,%,98.5429962263302
2014-15,ENG,England,3 to 4 Weeks,Samples_Examined,Number,45163
2014-15,ENG,England,3 to 4 Weeks,Samples_Examined,%,1.41037940308314
2014-15,ENG,England,5 to 6 Weeks,Samples_Examined,Number,1188
2014-15,ENG,England,5 to 6 Weeks,Samples_Examined,%,0.03709963312585
2014-15,ENG,England,7 to 8 Weeks,Samples_Examined,Number,204
2014-15,ENG,England,7 to 8 Weeks,Samples_Examined,%,0.00637064407211
2014-15,ENG,England,9 to 10 Weeks,Samples_Examined,Number,28
2014-15,ENG,England,9 to 10 Weeks,Samples_Examined,%,0.00087440212754
2014-15,ENG,England,Over 10 weeks,Samples_Examined,Number,73
2014-15,ENG,England,Over 10 weeks,Samples_Examined,%,0.0022796912611
2014-15,ENG,South,0 to 2 Weeks,Samples_Examined,Number,847295
2014-15,ENG,South,0 to 2 Weeks,Samples_Examined,%,98.0873263665799
2014-15,ENG,South,3 to 4 Weeks,Samples_Examined,Number,16263
2014-15,ENG,South,3 to 4 Weeks,Samples_Examined,%,1.88269043095932
2014-15,ENG,South,5 to 6 Weeks,Samples_Examined,Number,204
2014-15,ENG,South,5 to 6 Weeks,Samples_Examined,%,0.02361611313507
2014-15,ENG,South,7 to 8 Weeks,Samples_Examined,Number,42
2014-15,ENG,South,7 to 8 Weeks,Samples_Examined,%,0.00486214093957
2014-15,ENG,South,9 to 10 Weeks,Samples_Examined,Number,6
2014-15,ENG,South,9 to 10 Weeks,Samples_Examined,%,0.00069459156279
2014-15,ENG,South,Over 10 weeks,Samples_Examined,Number,7
2014-15,ENG,South,Over 10 weeks,Samples_Examined,%,0.00081035682326
2014-15,R1,North East,0 to 2 Weeks,Samples_Examined,Number,147717
2014-15,R1,North East,0 to 2 Weeks,Samples_Examined,%,99.9519582104095
2014-15,R1,North East,3 to 4 Weeks,Samples_Examined,Number,51
2014-15,R1,North East,3 to 4 Weeks,Samples_Examined,%,0.03450889111429
2014-15,R1,North East,5 to 6 Weeks,Samples_Examined,Number,10
2014-15,R1,North East,5 to 6 Weeks,Samples_Examined,%,0.00676644923809
2014-15,R1,North East,7 to 8 Weeks,Samples_Examined,Number,8
2014-15,R1,North East,7 to 8 Weeks,Samples_Examined,%,0.00541315939047
2014-15,R1,North East,9 to 10 Weeks,Samples_Examined,Number,1
2014-15,R1,North East,9 to 10 Weeks,Samples_Examined,%,0.0006766449238
2014-15,R1,North East,Over 10 weeks,Samples_Examined,Number,1
2014-15,R1,North East,Over 10 weeks,Samples_Examined,%,0.0006766449238
2014-15,R2,North West,0 to 2 Weeks,Samples_Examined,Number,392944
2014-15,R2,North West,0 to 2 Weeks,Samples_Examined,%,99.8414505244329
2014-15,R2,North West,3 to 4 Weeks,Samples_Examined,Number,598
2014-15,R2,North West,3 to 4 Weeks,Samples_Examined,%,0.15194324741848
2014-15,R2,North West,5 to 6 Weeks,Samples_Examined,Number,18
2014-15,R2,North West,5 to 6 Weeks,Samples_Examined,%,0.00457354256443
2014-15,R2,North West,7 to 8 Weeks,Samples_Examined,Number,4
2014-15,R2,North West,7 to 8 Weeks,Samples_Examined,%,0.00101634279209
2014-15,R2,North West,9 to 10 Weeks,Samples_Examined,Number,1
2014-15,R2,North West,9 to 10 Weeks,Samples_Examined,%,0.00025408569802
2014-15,R2,North West,Over 10 weeks,Samples_Examined,Number,3
2014-15,R2,North West,Over 10 weeks,Samples_Examined,%,0.00076225709407
2014-15,R3,Yorkshire and the Humber,0 to 2 Weeks,Samples_Examined,Number,295370
2014-15,R3,Yorkshire and the Humber,0 to 2 Weeks,Samples_Examined,%,99.9167839359168
2014-15,R3,Yorkshire and the Humber,3 to 4 Weeks,Samples_Examined,Number,223
2014-15,R3,Yorkshire and the Humber,3 to 4 Weeks,Samples_Examined,%,0.07543570036804
2014-15,R3,Yorkshire and the Humber,5 to 6 Weeks,Samples_Examined,Number,11
2014-15,R3,Yorkshire and the Humber,5 to 6 Weeks,Samples_Examined,%,0.00372104351591
2014-15,R3,Yorkshire and the Humber,7 to 8 Weeks,Samples_Examined,Number,3
2014-15,R3,Yorkshire and the Humber,7 to 8 Weeks,Samples_Examined,%,0.00101483004979
2014-15,R3,Yorkshire and the Humber,9 to 10 Weeks,Samples_Examined,Number,2
2014-15,R3,Yorkshire and the Humber,9 to 10 Weeks,Samples_Examined,%,0.00067655336652
2014-15,R3,Yorkshire and the Humber,Over 10 weeks,Samples_Examined,Number,7
2014-15,R3,Yorkshire and the Humber,Over 10 weeks,Samples_Examined,%,0.00236793678285
2014-15,R4,East Midlands,0 to 2 Weeks,Samples_Examined,Number,276901
2014-15,R4,East Midlands,0 to 2 Weeks,Samples_Examined,%,94.9113444182802
2014-15,R4,East Midlands,3 to 4 Weeks,Samples_Examined,Number,14674
2014-15,R4,East Midlands,3 to 4 Weeks,Samples_Examined,%,5.02970039109228
2014-15,R4,East Midlands,5 to 6 Weeks,Samples_Examined,Number,151
2014-15,R4,East Midlands,5 to 6 Weeks,Samples_Examined,%,0.05175717316716
2014-15,R4,East Midlands,7 to 8 Weeks,Samples_Examined,Number,10
2014-15,R4,East Midlands,7 to 8 Weeks,Samples_Examined,%,0.00342762736206
2014-15,R4,East Midlands,9 to 10 Weeks,Samples_Examined,Number,1
2014-15,R4,East Midlands,9 to 10 Weeks,Samples_Examined,%,0.0003427627362
2014-15,R4,East Midlands,Over 10 weeks,Samples_Examined,Number,10
2014-15,R4,East Midlands,Over 10 weeks,Samples_Examined,%,0.00342762736206
2014-15,R5,West Midlands,0 to 2 Weeks,Samples_Examined,Number,284759
2014-15,R5,West Midlands,0 to 2 Weeks,Samples_Examined,%,96.5229122389557
2014-15,R5,West Midlands,3 to 4 Weeks,Samples_Examined,Number,9449
2014-15,R5,West Midlands,3 to 4 Weeks,Samples_Examined,%,3.20286627550276
2014-15,R5,West Midlands,5 to 6 Weeks,Samples_Examined,Number,697
2014-15,R5,West Midlands,5 to 6 Weeks,Samples_Examined,%,0.23625757159756
2014-15,R5,West Midlands,7 to 8 Weeks,Samples_Examined,Number,108
2014-15,R5,West Midlands,7 to 8 Weeks,Samples_Examined,%,0.03660805987451
2014-15,R5,West Midlands,9 to 10 Weeks,Samples_Examined,Number,2
2014-15,R5,West Midlands,9 to 10 Weeks,Samples_Examined,%,0.00067792703471
2014-15,R5,West Midlands,Over 10 weeks,Samples_Examined,Number,2
