CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Age_Band,Data_Notes,Indicator,Unit,Value
2013-14,E,East Midlands,00FK,E06000015,Derby,25-64,,Coverage_REGION,%,76.6402649304741
2013-14,E,East Midlands,00FK,E06000015,Derby,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,E,East Midlands,00FK,E06000015,Derby,25-64,,Coverage_LA,%,75.04095004095
2013-14,E,East Midlands,00FK,E06000015,Derby,25-64,,Eligible_Population_LA,Number,63492
2013-14,E,East Midlands,17,E10000007,Derbyshire,25-64,,Coverage_REGION,%,76.6402649304741
2013-14,E,East Midlands,17,E10000007,Derbyshire,25-64,,Coverage_LA,%,79.4818468741509
2013-14,E,East Midlands,17,E10000007,Derbyshire,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,E,East Midlands,17,E10000007,Derbyshire,25-64,,Eligible_Population_LA,Number,191372
2013-14,E,East Midlands,00FN,E06000016,Leicester,25-64,,Coverage_REGION,%,76.6402649304741
2013-14,E,East Midlands,00FN,E06000016,Leicester,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,E,East Midlands,00FN,E06000016,Leicester,25-64,,Eligible_Population_LA,Number,87693
2013-14,E,East Midlands,00FN,E06000016,Leicester,25-64,,Coverage_LA,%,68.6542825539097
2013-14,E,East Midlands,31,E10000018,Leicestershire,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,E,East Midlands,31,E10000018,Leicestershire,25-64,,Coverage_LA,%,78.3878835659469
2013-14,E,East Midlands,31,E10000018,Leicestershire,25-64,,Coverage_REGION,%,76.6402649304741
2013-14,E,East Midlands,31,E10000018,Leicestershire,25-64,,Eligible_Population_LA,Number,162358
2013-14,E,East Midlands,32,E10000019,Lincolnshire,25-64,,Eligible_Population_LA,Number,175444
2013-14,E,East Midlands,32,E10000019,Lincolnshire,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,E,East Midlands,32,E10000019,Lincolnshire,25-64,,Coverage_LA,%,76.7749253322998
2013-14,E,East Midlands,32,E10000019,Lincolnshire,25-64,,Coverage_REGION,%,76.6402649304741
2013-14,E,East Midlands,34,E10000021,Northamptonshire,25-64,,Coverage_REGION,%,76.6402649304741
